"key","zh_CN","en_US"
"meta.title","API 钱包 — AI 余额与套餐聚合管家 | Suzatei","API Wallet — AI Balance & Plan Tracker | Suzatei"
"meta.desc","API 钱包：聚合管理 DeepSeek、OpenAI、Claude、Gemini、Kimi、智谱 GLM 等 AI 服务的余额与订阅套餐，密钥仅存本机钥匙串。","API Wallet aggregates balances and subscription plans across DeepSeek, OpenAI, Claude, Gemini, Kimi, Zhipu GLM and more. Keys never leave your Keychain."
"nav.features","功能","Features"
"nav.faq","常见问题","FAQ"
"nav.contact","联系我们","Contact"
"hero.badge","为 AI 重度用户打造","Built for heavy AI users"
"hero.title1","API 余额与套餐","Every AI balance"
"hero.title2","一目了然","at a glance."
"hero.desc","聚合管理 DeepSeek、OpenAI、Claude、Gemini、Kimi、智谱 GLM 等 AI 服务的余额与订阅套餐，支持自定义接口与桌面小组件。密钥仅存于本机钥匙串，安全无忧。","Aggregate balances and subscription plans across DeepSeek, OpenAI, Claude, Gemini, Kimi, Zhipu GLM and more — with custom endpoints and home-screen widgets. Keys never leave your Keychain."
"cta.download","App Store 下载","Download on the App Store"
"cta.soon","即将上线 App Store","Coming to the App Store"
"cta.secondary","了解功能","Explore features"
"hero.meta1","Keychain 加密存储","Encrypted in Keychain"
"hero.meta2","无账号 · 不收集数据","No account · No tracking"
"mock.total","总余额","Total balance"
"mock.sub","6 个服务商 · 刚刚更新","6 providers · Updated just now"
"mock.balance","余额","Balance"
"mock.plan","会员套餐 · 用量","Membership plan · Usage"
"mock.chip","Keychain 加密","Keychain encrypted"
"marquee.label","支持主流 AI 服务商","Works with leading AI providers"
"m.zhipu","智谱 GLM","Zhipu GLM"
"m.doubao","豆包","Doubao"
"m.qwen","通义千问","Qwen"
"m.siliconflow","硅基流动","SiliconFlow"
"features.eyebrow","核心功能","FEATURES"
"features.title","一个 App，管好所有 AI 开销","One app for every AI expense"
"features.sub","从余额到套餐，从安全到小组件，为 AI 重度用户准备的完整方案。","From balances to plans, from security to widgets — the complete kit for heavy AI users."
"f1.title","余额聚合查询","Aggregated Balances"
"f1.desc","一键刷新多家服务商的官方 API 余额，多账号备注区分，总量与明细一目了然。","Refresh official balances across providers in one tap. Track multiple accounts with notes, totals and details."
"f2.title","套餐额度追踪","Plan & Quota Tracking"
"f2.desc","Kimi 会员、GLM Coding Plan 等订阅套餐的额度与用量进度，实时掌握。","Keep an eye on subscription plans like Kimi membership and GLM Coding Plan with live usage progress."
"f3.title","桌面小组件","Home-Screen Widgets"
"f3.desc","余额常驻桌面，长按小组件即可勾选展示哪些服务商，一切尽在掌握。","Keep balances on your home screen. Long-press the widget to choose which providers to show."
"f4.title","自定义 API 脚本","Custom API Scripts"
"f4.desc","中转站、自建网关也能查：编写查询脚本，支持变量替换与保存前测试查询。","Query relay stations and self-hosted gateways with custom scripts, variable substitution and test queries."
"f5.title","钥匙串级安全","Keychain-Grade Security"
"f5.desc","API Key 使用 iOS Keychain 加密保存，永不离开你的设备，不上传任何服务器。","API keys are encrypted in the iOS Keychain. They never leave your device or touch any server."
"f6.title","多账号管理","Multi-Account Ready"
"f6.desc","同一服务商添加多个 Key，主号与工作号并存，备注清晰区分。","Add multiple keys per provider — personal and work accounts side by side, clearly labelled."
"sec.title","零收集，零追踪","Zero collection. Zero tracking."
"sec.desc","API 钱包不含任何分析、广告或追踪组件。查询余额时，请求由你的设备直连各服务商官方 API，我们没有任何中间服务器。","API Wallet ships with no analytics, ads or tracking. When you refresh a balance, the request goes straight from your device to the provider's official API — we run no middle servers."
"sec.p1","无账号 · 无注册","No account · No sign-up"
"sec.p2","数据仅存本机","On-device only"
"sec.p3","直连服务商官方 API","Direct to official APIs"
"faq.eyebrow","答疑","FAQ"
"faq.title","常见问题","Frequently Asked Questions"
"faq.sub","关于 API 钱包的疑问，在这里找到答案。","Answers to common questions about API Wallet."
"faq.q1","如何获取 API Key？","How do I get an API key?"
"faq.a1a","在对应平台的控制台 → API Keys 页面创建即可：","Create one in each platform's console, under the API Keys page:"
"faq.a1b","DeepSeek：platform.deepseek.com；OpenAI：platform.openai.com；Anthropic Claude：console.anthropic.com；Kimi：platform.moonshot.cn；智谱：bigmodel.cn。拿到 Key 后，在 API 钱包中选择对应服务商，粘贴保存即可查询。","DeepSeek: platform.deepseek.com; OpenAI: platform.openai.com; Anthropic Claude: console.anthropic.com; Kimi: platform.moonshot.cn; Zhipu: bigmodel.cn. Then pick the provider in API Wallet, paste your key and save."
"faq.q2","我的 API Key 安全吗？","Are my API keys safe?"
"faq.a2a","安全。API Key 使用 iOS Keychain 加密存储，仅保存在你的设备上。App 不会将任何 Key 或余额数据上传到本 App 之外的任何服务器，所有查询请求由你的设备直接发送至各平台的官方 API。","Yes. Keys are encrypted in the iOS Keychain and stay on your device. The app uploads no keys or balance data to any server of ours — every request goes straight from your device to each platform's official API."
"faq.a2b","删除某个配置时，Keychain 中对应的 Key 会同步删除。","Deleting a configuration also deletes its key from the Keychain."
"faq.q3","如何添加桌面小组件？","How do I add the home-screen widget?"
"faq.a3a","在主屏幕长按空白处 → 点击左上角「+」→ 搜索「API 钱包」→ 选择尺寸添加。添加后长按小组件 →「编辑小组件」，即可勾选希望展示的服务商。","Long-press the home screen → tap “+” → search for “API Wallet” → pick a size. Then long-press the widget → “Edit Widget” to choose which providers appear."
"faq.a3b","注意：请先在 App 内完成一次余额查询，小组件才会有数据显示。小组件约每 30 分钟由系统自动刷新。","Note: run one balance query in the app first so the widget has data to show. The system refreshes widgets roughly every 30 minutes."
"faq.q4","同一服务商可以添加多个 Key 吗？","Can I add multiple keys for one provider?"
"faq.a4","可以。同一服务商可重复添加多个 Key（例如主账号与公司账号），通过备注区分，卡片上会显示在名称旁。","Yes. Add as many keys per provider as you like — a personal and a company account, for example — and tell them apart with notes shown next to the name."
"faq.q5","余额多久更新一次？","How often do balances refresh?"
"faq.a5","打开 App 或下拉刷新时会立即查询全部服务商；也可以在每个服务商的编辑页设置自动查询间隔（仅在 App 前台运行时生效）。","Opening the app or pulling to refresh queries every provider instantly. You can also set a per-provider auto-refresh interval (active while the app is in the foreground)."
"faq.q6","如何查询自定义 / 中转服务的余额？","Can I query custom or relay endpoints?"
"faq.a6","在主页「+」菜单中选择「自定义 API」，填入请求地址与（可选的）API Key，并编写查询脚本。脚本支持变量替换，保存前可使用「测试查询」验证配置是否正确。","Choose “Custom API” from the “+” menu on the home screen, enter the base URL and an optional API key, then write a query script. Variable substitution is supported, and “Test Query” verifies everything before you save."
"faq.q7","如何删除我的数据？","How do I delete my data?"
"faq.a7","删除某个服务商配置时，App 会同步删除 Keychain 中保存的 API Key。卸载 App 即清除全部本地数据，不会留下任何痕迹。","Deleting a provider configuration removes its key from the Keychain. Uninstalling the app wipes all local data — nothing is left behind."
"contact.eyebrow","联系","CONTACT"
"contact.title","联系我们","Get in touch"
"contact.sub","疑问、提议，或者想和我们一起做点事。","Questions, ideas — or something you'd like to build with us."
"contact.s.title","技术支持与建议","Support & Feedback"
"contact.s.desc","遇到问题或有功能建议，我们会尽快回复。","Found a bug or have a feature request? We usually reply fast."
"contact.b.title","合作与投资","Business & Investment"
"contact.b.desc","商务合作、渠道洽谈与投资事宜，欢迎来信。","Partnerships, distribution and investment inquiries are welcome."
"footer.privacy","隐私政策","Privacy Policy"
"footer.support","技术支持","Support"
"footer.biz","商务合作","Business"
"footer.note","© 2026 Suzatei. 保留所有权利。本应用与所提及的各平台无隶属关系，仅通过各平台官方公开接口查询您自己的账户数据。","© 2026 Suzatei. All rights reserved. This app is not affiliated with the platforms mentioned; it queries only your own account data via their official public APIs."
