"key","zh_CN","en_US"
"meta.title","PhoenixAI — AI 对话 · 生图 · 生视频三合一 | Suzatei","PhoenixAI — AI Chat, Image & Video Studio in One | Suzatei"
"meta.desc","PhoenixAI：自带 Key 的 AI 三合一工作台。对话接入 GPT、Claude、Gemini、DeepSeek、Grok、豆包；生图 Nano Banana / Seedream 5.0；生视频 Seedance 2.0。数据仅存本机。","PhoenixAI: a bring-your-own-key AI studio. Chat with GPT, Claude, Gemini, DeepSeek, Grok and Doubao; generate images with Nano Banana and Seedream 5.0; create videos with Seedance 2.0. On-device only."
"nav.features","功能","Features"
"nav.faq","常见问题","FAQ"
"nav.contact","联系我们","Contact"
"hero.badge","AI 对话 · 生图 · 生视频 三合一","AI Chat · Images · Videos in one app"
"hero.title1","从对话到影像，","From chat to cinema,"
"hero.title2","灵感一飞冲天。","let ideas take flight."
"hero.desc","自带 API Key 的 AI 工作台：聊天接入 GPT、Claude、Gemini、DeepSeek、Grok、豆包；图片用 Nano Banana、Seedream 5.0；视频用 Seedance 2.0。无账号，作品仅存本机。","A bring-your-own-key AI studio: chat with GPT, Claude, Gemini, DeepSeek, Grok and Doubao; craft images with Nano Banana and Seedream 5.0; roll videos with Seedance 2.0. No account — creations stay on your device."
"rot.1","Nano Banana 生图","Nano Banana image gen"
"rot.2","Seedance 2.0 生视频","Seedance 2.0 video"
"rot.3","GPT-4o · Claude · Gemini 对话","GPT-4o · Claude · Gemini chat"
"rot.4","2048×2048 高清出图","2048×2048 HD images"
"cta.download","App Store 下载","Download on the App Store"
"cta.soon","即将上线 App Store","Coming to the App Store"
"cta.secondary","了解功能","Explore features"
"hero.meta1","无账号 · 数据仅存本机","No account · On-device only"
"hero.meta2","自带 API Key","Bring your own API key"
"mp.chat.name","AI 对话","AI Chat"
"mp.stream","流式","Streaming"
"mp.chat.user","帮我把这段文案改得更燃一点","Make this copy sound more electric"
"mp.chat.ai","没问题——这一版节奏更快、动词更密，读完就想立刻出发：","Done — this version moves faster with punchier verbs. You'll want to leave the door already:"
"mp.img.name","AI 图片","AI Images"
"mp.vid.name","AI 视频","AI Videos"
"mp.vid.meta","1080p · 6 秒 · 含声音","1080p · 6s · with audio"
"mp.vid.status","生成中 78%","Generating 78%"
"marquee.label","主流模型，随取随用","Leading models, ready when you are"
"k.chat","对话","Chat"
"k.image","图片","Image"
"k.video","视频","Video"
"m.doubao","豆包","Doubao"
"features.eyebrow","核心功能","FEATURES"
"features.title","一个工作台，三种创造力","One studio, three creative engines"
"features.sub","对话、图片、视频无缝切换，你的灵感不用等。","Chat, images and video in one flow — your ideas never wait."
"f1.title","AI 对话","AI Chat"
"f1.desc","GPT、Claude、Gemini、DeepSeek、Grok、豆包随你切换：会话内换模型，语气预设定风格，推理力度选深浅。","Switch freely between GPT, Claude, Gemini, DeepSeek, Grok and Doubao — change models mid-conversation, set the tone with presets, and dial reasoning depth per chat."
"f2.title","AI 图片工作室","AI Image Studio"
"f2.desc","Nano Banana、GPT Image 2、Seedream 5.0：方形 / 竖版 / 横版多画幅，最高 2048×2048，一次 1–4 张。","Nano Banana, GPT Image 2 and Seedream 5.0: square, portrait or landscape — up to 2048×2048, 1–4 images per run."
"f3.title","AI 视频工作室","AI Video Studio"
"f3.desc","Seedance 2.0：480p–1080p、4–12 秒、可生成声音，实时百分比进度，任务即刻进入资料库。","Seedance 2.0: 480p–1080p, 4–12 seconds, optional generated audio, live percentage progress — tasks land in your library instantly."
"f4.title","资料库","Library"
"f4.desc","生成的图片与视频统一管理：全屏预览、保存到相册、系统分享、多选批量删除。","Every image and video in one grid: full-screen preview, save to Photos, system sharing and multi-select cleanup."
"f5.title","推理力度自选","Reasoning, Your Call"
"f5.desc","每个会话独立选择低 / 中 / 高 / 最大推理力度，速度与深度，由你权衡。","Pick low / medium / high / maximum reasoning per conversation. You decide between speed and depth."
"f6.title","仅本机，够安心","On-Device, Worry-Free"
"f6.desc","无账号无密码，对话、预设与作品只存设备本地；已为未来的 iCloud 同步预留架构。","No account, no password. Chats, presets and creations stay on your device — with a persistence layer ready for future iCloud sync."
"sec.title","创作自由，隐私打底","Creative freedom, built on privacy"
"sec.desc","PhoenixAI 不含任何分析、广告或追踪组件。对话与生成请求由你的设备直连你配置的服务商，我们没有任何中间服务器。","PhoenixAI ships with no analytics, ads or tracking. Chat and generation requests go straight from your device to the providers you configured — we run no middle servers."
"sec.p1","无账号 · 无注册","No account · No sign-up"
"sec.p2","对话与作品仅存本机","Chats & creations stay on-device"
"sec.p3","密钥仅存系统钥匙串","Keys live in the Keychain only"
"faq.eyebrow","答疑","FAQ"
"faq.title","常见问题","Frequently Asked Questions"
"faq.sub","关于 PhoenixAI 的疑问，在这里找到答案。","Answers to common questions about PhoenixAI."
"faq.q1","需要账号吗？","Do I need an account?"
"faq.a1","不需要。PhoenixAI 无账号、无密码，打开即用。对话、预设与作品全部保存在设备本地，卸载即彻底删除。","No. PhoenixAI has no accounts and no passwords — open it and create. Chats, presets and creations all stay on your device, and uninstalling removes everything."
