"key","zh_CN","en_US"
"meta.title","P Chat — AI 角色扮演 · 互动故事 | Suzatei","P Chat — AI Roleplay & Interactive Stories | Suzatei"
"meta.desc","P Chat：AI 群聊角色扮演与互动故事 App。故事导演逐幕编排，最多 8 位角色同台演绎，剧情记忆让故事绵延不断。自带 Key，数据仅存本机。","P Chat: AI group roleplay and interactive stories. A Story Director paces the tale scene by scene, up to 8 characters share the stage, and Story Memory keeps long stories alive. BYOK, on-device only."
"nav.features","功能","Features"
"nav.showcase","群聊演绎","Group Play"
"nav.faq","常见问题","FAQ"
"nav.contact","联系我们","Contact"
"hero.badge","AI 角色扮演 · 互动故事","AI Roleplay · Interactive Stories"
"hero.title1","开始你的","Start your"
"hero.title2","故事。","story."
"hero.desc","单人故事模式由「故事导演」逐幕编排，或邀请最多 8 位角色同台群聊演绎。剧情记忆让长篇故事绵延不断——而你的故事，只保存在你的设备上。","In Story Mode, an AI “Story Director” paces the tale scene by scene. Or bring up to 8 characters on stage for group roleplay. Story Memory keeps long stories going — and everything stays on your device."
"cta.download","App Store 下载","Download on the App Store"
"cta.soon","即将上线 App Store","Coming to the App Store"
"cta.secondary","看看功能","Explore features"
"hero.meta1","无账号 · 故事仅存本机","No account · Stories stay on-device"
"hero.meta2","自带 API Key","Bring your own API key"
"mock.strategy","智能接话","Smart"
"mock.on","已开启","ON"
"mock.group","雨夜书店 · 群聊演绎","Rainy-Night Bookstore · Group Play"
"mock.members","4 位角色同台","4 characters on stage"
"mock.director","故事导演","STORY DIRECTOR"
"mock.narr","雨夜的旧书店，风铃轻响。门被推开，所有人的目光一齐落在来客身上——","A rainy night. The old bookstore's wind chime rings as the door swings open — every eye turns to the newcomer."
"mock.g1","元气少女","Genki Girl"
"mock.t1","你终于来啦！我们等你好久了～快进来，外面雨好大！","You made it! We've been waiting forever — come in, it's pouring out there!"
"mock.joinInitial","诸","Z"
"mock.join","诸葛军师 加入了群聊","Master Strategist joined the story"
"marquee.label","接入你喜欢的 AI 模型","Plug in the models you love"
"m.doubao","豆包","Doubao"
"m.custom","自定义接口","Custom endpoints"
"m.stream","流式输出","Streaming output"
"m.reasoning","深度思考","Deep reasoning"
"features.eyebrow","核心功能","FEATURES"
"features.title","为讲故事而生的 AI 舞台","An AI stage built for storytelling"
"features.sub","从一个人静静地读，到一群角色热热闹闹地演，都交给 P Chat。","From reading quietly on your own to a whole cast acting it out — P Chat handles both."
"f1.title","故事导演","Story Director"
"f1.desc","单人故事模式：AI 导演逐幕编排剧情与角色行动，流式输出，如追剧般沉浸。","In Story Mode the AI director paces plot and character actions scene by scene, streamed live like a series you can't pause."
"f2.title","8 人群聊演绎","Group Roleplay ×8"
"f2.desc","最多 8 位角色同台飙戏：你可扮演自己的角色，也能随时切换为导演旁白推进剧情。","Up to 8 characters share the stage. Play your own role, or switch to director narration to move the plot at any time."
"f3.title","剧情记忆","Story Memory"
"f3.desc","前情摘要自动生成，长期记忆随手维护——长篇故事不断片，角色始终记得你们的故事。","Auto-generated recaps plus a long-term memory list — long stories never lose the thread, and characters remember."
"f4.title","世界设定","World Info"
"f4.desc","世界观关键词自动触发，配合剧情背景与作者注释，把设定精准注入每一幕。","Keyword-triggered worldbuilding, scenario backgrounds and author's notes, injected precisely into every scene."
"f5.title","角色卡工坊","Character Card Studio"
"f5.desc","人设、外貌、开场白、示例对话与自定义头像，随手捏出有灵魂的角色。","Personas, appearance, greetings, example dialogues and custom avatars — craft characters with a soul in minutes."
"f6.title","自带 Key，即刻开演","BYOK, Start Instantly"
"f6.desc","支持 DeepSeek、OpenAI、Claude、Gemini、Grok、豆包与自定义接口，密钥仅存钥匙串。","Works with DeepSeek, OpenAI, Claude, Gemini, Grok, Doubao and custom endpoints. Keys stay in your Keychain."
"show.eyebrow","群聊演绎","GROUP PLAY"
"show.title","谁开口，剧情说了算","The story decides who speaks"
"show.sub","五种发言策略，让群聊像真正的生活现场。","Five speaking strategies make group chat feel like real life."
"st.smart","智能接话","Smart"
"st.all","全员发言","Everyone"
"st.round","轮流发言","Round-robin"
"st.random","随机发言","Random"
"st.manual","导演点名","Director's pick"
"show.note","智能模式下，AI 依据剧情与角色性格自动决定下一位发言者。","In Smart mode, the AI chooses the next speaker from the plot and each character's personality."
"c1.name","诸葛军师","Master Strategist"
"c1.desc","运筹帷幄，决胜千里","Three moves ahead, always"
"c2.name","清冷剑客","Aloof Swordsman"
"c2.desc","剑未出鞘，心已动人","A quiet blade, a guarded heart"
"c3.name","元气少女","Genki Girl"
"c3.desc","元气满满，治愈全场","Pure sunshine, endless energy"
"c4.name","毒舌管家","Sharp-Tongued Butler"
"c4.desc","嘴上不饶人，心里全是您","Sharp tongue, devoted heart"
"faq.eyebrow","答疑","FAQ"
"faq.title","常见问题","Frequently Asked Questions"
"faq.sub","关于 P Chat 的疑问，在这里找到答案。","Answers to common questions about P Chat."
"faq.q1","需要注册账号吗？","Do I need an account?"
"faq.a1","不需要。P Chat 无账号、无密码，打开即用。故事、角色与配置全部保存在设备本地，卸载即彻底删除。","No. P Chat has no accounts and no passwords — open it and play. Stories, characters and settings all stay on your device, and uninstalling removes everything."
"faq.q2","我的 API Key 安全吗？","Are my API keys safe?"
"faq.a2","安全。Key 使用 iOS Keychain 加密存储，仅保存在你的设备上。对话请求由设备直连你配置的服务商，我们没有任何中间服务器。你还可以在设置中一键关闭全部网络请求。","Yes. Keys are encrypted in the iOS Keychain and stay on your device. Chat requests go straight from your device to the providers you configured — we run no middle servers. You can also switch off all network access with one toggle."
"faq.q3","支持哪些 AI 模型？","Which AI models are supported?"
"faq.a3","内置 DeepSeek、OpenAI、Anthropic Claude、Google Gemini、xAI Grok 与豆包（火山方舟）预设，也支持任何 OpenAI 兼容的自定义接口；每个服务商可维护自己的模型列表，并支持深度思考（推理）模式。","Built-in presets for DeepSeek, OpenAI, Anthropic Claude, Google Gemini, xAI Grok and Doubao (Volcano Ark), plus any OpenAI-compatible custom endpoint. Each provider keeps its own model list, with deep-reasoning modes supported."
"faq.q4","故事模式和群聊角色扮演有什么区别？","Story Mode vs. group roleplay — what's the difference?"
"faq.a4a","故事模式：由「故事导演」AI 逐幕推进的单人剧情，你以角色身份回应，也能切换为导演旁白。","Story Mode: a single-player tale paced by the AI “Story Director”. You reply as your character, or switch to director narration."
"faq.a4b","群聊演绎：最多 8 位角色同台，五种发言策略决定谁接话，适合多人互动的长线剧情。","Group Roleplay: up to 8 characters on stage with five speaking strategies deciding who talks next — great for long, multi-character plots."
"faq.q5","什么是剧情记忆？","What is Story Memory?"
"faq.a5","App 会自动生成前情摘要，你也可以维护长期记忆列表并一键总结。这样即使故事很长、超出上下文窗口，角色依然记得重要的事。","The app auto-generates recaps of earlier events, and you can curate a long-term memory list with one-tap summaries. Even when a story outgrows the context window, characters keep remembering what matters."
"faq.q6","如何删除我的数据？","How do I delete my data?"
"faq.a6","设置中提供本机数据统计与一键清空；删除单个故事或角色也会同步清理其数据。卸载 App 即彻底删除全部内容。","Settings include on-device data stats and a one-tap erase; deleting a story or character clears its data too. Uninstalling the app removes everything."
"contact.eyebrow","联系","CONTACT"
"contact.title","联系我们","Get in touch"
"contact.sub","疑问、提议，或者想和我们一起做点事。","Questions, ideas — or something you'd like to build with us."
"contact.s.title","技术支持与建议","Support & Feedback"
"contact.s.desc","遇到问题或有功能建议，我们会尽快回复。","Found a bug or have a feature request? We usually reply fast."
"contact.b.title","合作与投资","Business & Investment"
"contact.b.desc","商务合作、渠道洽谈与投资事宜，欢迎来信。","Partnerships, distribution and investment inquiries are welcome."
"footer.privacy","隐私政策","Privacy Policy"
"footer.support","技术支持","Support"
"footer.biz","商务合作","Business"
"footer.note","© 2026 Suzatei. 保留所有权利。故事内容由 AI 生成，仅供娱乐；本应用与所提及的平台无隶属关系。","© 2026 Suzatei. All rights reserved. Story content is AI-generated for entertainment; this app is not affiliated with the platforms mentioned."
