"key","zh_CN","en_US"
"meta.title","Suzatei — 用心打磨的 AI 应用","Suzatei — AI apps crafted with care"
"meta.desc","Suzatei 出品：API 钱包、P Chat、PhoenixAI。管好 AI 余额、演绎你的故事、释放创作灵感——本地优先，隐私至上。","From Suzatei: API Wallet, P Chat and PhoenixAI. Track AI balances, live your stories, unleash creativity — local-first, privacy-first."
"nav.products","产品","Products"
"nav.privacy","隐私承诺","Privacy"
"nav.contact","联系我们","Contact"
"hero.badge","Suzatei · 独立开发，用心打磨","Suzatei · Independently crafted"
"hero.title1","三款产品，","Three products,"
"hero.title2","一种用心。","one dedication."
"hero.desc","围绕 AI 时代的日常打造：管好每一分 API 开销，演好每一个故事，释放每一次灵感。全部本地优先，隐私至上，打开即用。","Built for everyday life with AI: keep every API dollar in view, live every story, and unleash every spark of inspiration. All local-first, privacy-first, ready out of the box."
"cta.products","浏览产品","Browse products"
"cta.privacy","我们的隐私承诺","Our privacy promise"
"apps.eyebrow","产品","PRODUCTS"
"apps.title","为 AI 日常准备的三件套","The trio for your AI daily"
"apps.sub","点击卡片进入各产品介绍页。","Click a card to open its product page."
"card.wallet.name","API 钱包","API Wallet"
"card.wallet.tag","AI 余额与套餐聚合管家","AI balance & plan tracker"
"card.wallet.desc","聚合管理 DeepSeek、OpenAI、Claude、Gemini、Kimi、智谱 GLM 等服务的余额与订阅套餐。","Aggregate balances and plans across DeepSeek, OpenAI, Claude, Gemini, Kimi, Zhipu GLM and more."
"card.wallet.c1","余额套餐，一目了然","Balances & plans at a glance"
"card.wallet.c2","桌面小组件常驻显示","Home-screen widgets"
"card.wallet.c3","密钥仅存钥匙串","Keys stay in the Keychain"
"card.pchat.name","P Chat","P Chat"
"card.pchat.tag","AI 角色扮演 · 互动故事","AI roleplay · Interactive stories"
"card.pchat.desc","故事导演逐幕编排，最多 8 位角色同台演绎，剧情记忆让长篇故事绵延不断。","A Story Director paces the tale scene by scene, up to 8 characters share the stage, and Story Memory keeps long stories alive."
"card.pchat.c1","故事导演，逐幕推进","Story Director, scene by scene"
"card.pchat.c2","8 人群聊，五种发言策略","8-character group play, 5 strategies"
"card.pchat.c3","剧情记忆，长篇不断片","Story Memory for long tales"
"card.phoenix.name","PhoenixAI","PhoenixAI"
"card.phoenix.tag","AI 对话 · 生图 · 生视频三合一","AI chat · images · video in one"
"card.phoenix.desc","自带 API Key 的工作台：GPT、Claude、Gemini 随心聊，Nano Banana 出图，Seedance 生成视频。","A bring-your-own-key studio: chat with GPT, Claude and Gemini, create with Nano Banana, roll video with Seedance."
"card.phoenix.c1","主流模型，会话内切换","Leading models, mid-chat switching"
"card.phoenix.c2","最高 2048×2048 高清出图","Up to 2048×2048 HD images"
"card.phoenix.c3","Seedance 视频，可含声音","Seedance video, audio optional"
"card.cta","进入产品页","Open product page"
"privacy.title","隐私，是产品的底线","Privacy is the baseline"
"privacy.desc","你的数据默认只存在你的设备上。如果未来需要收集信息，也仅用于改进产品质量，绝不用于广告或出售。这份承诺，写进了每一款产品。","Your data stays on your device by default. If we ever need to collect information, it will only be to improve our products — never for ads, never for sale. This promise is built into every app."
"privacy.zh","阅读隐私政策（中文）","阅读隐私政策（中文）"
"privacy.en","Read Privacy Policy (English)","Read Privacy Policy (English)"
"contact.eyebrow","联系","CONTACT"
"contact.title","联系我们","Get in touch"
"contact.sub","疑问、提议，或者想和我们一起做点事。","Questions, ideas — or something you'd like to build with us."
"contact.s.title","技术支持与建议","Support & Feedback"
"contact.s.desc","遇到问题或有功能建议，我们会尽快回复。","Found a bug or have a feature request? We usually reply fast."
"contact.b.title","合作与投资","Business & Investment"
"contact.b.desc","商务合作、渠道洽谈与投资事宜，欢迎来信。","Partnerships, distribution and investment inquiries are welcome."
"footer.privacy","隐私政策","Privacy Policy"
"footer.support","技术支持","Support"
"footer.biz","商务合作","Business"
"footer.note","© 2026 Suzatei. 保留所有权利。文中提及的第三方名称与其各自所有者所有，仅用于说明。","© 2026 Suzatei. All rights reserved. Third-party names mentioned herein are trademarks of their respective owners, used for identification only."
